2023-02-15 16:04:14,898 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-02-15 16:04:15,007 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-02-15 16:04:15,009 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2023-02-15 16:04:15,010 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2023-02-15 16:04:15,020 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-02-15 16:04:15,021 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-02-15 16:04:15,022 INFO  SwAddin.cs: 201 - Setting up command manager
2023-02-15 16:04:15,023 INFO  SwAddin.cs: 204 - Adding command manager
2023-02-15 16:04:15,029 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-02-15 16:04:15,033 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-02-15 16:04:15,033 INFO  SwAddin.cs: 210 - Adding event handlers
2023-02-15 16:04:15,118 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-02-15 16:11:23,642 INFO  SwAddin.cs: 294 - Assembly export called for file 00_asm
2023-02-15 16:11:23,646 INFO  SwAddin.cs: 299 - Save is required
2023-02-15 16:11:23,647 INFO  SwAddin.cs: 313 - Saving assembly
2023-02-15 16:11:23,648 INFO  SwAddin.cs: 316 - Opening property manager
2023-02-15 16:11:23,685 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 00_asm
2023-02-15 16:11:23,697 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 00_asm
2023-02-15 16:11:23,698 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in 00_asm
2023-02-15 16:11:23,698 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-02-15 16:11:23,701 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2023-02-15 16:11:23,702 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 00_asm.stp-1
2023-02-15 16:11:23,704 INFO  ExportHelperExtension.cs: 1136 - Found 17 in 00_asm.stp-1
2023-02-15 16:11:23,704 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 00_asm.stp-1
2023-02-15 16:11:23,705 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 00_asm
2023-02-15 16:11:23,706 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 00_asm
2023-02-15 16:11:23,706 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 00_asm
2023-02-15 16:11:23,707 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-02-15 16:11:23,707 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2023-02-15 16:11:23,708 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 00_asm.stp-1
2023-02-15 16:11:23,708 INFO  ExportHelperExtension.cs: 1136 - Found 17 in 00_asm.stp-1
